Finca ,Fecha,lluvia 
ISLA GRANDE,01/01/2016,0
ISLA GRANDE,01/01/2017,31
ISLA GRANDE,01/01/2018,0.75
ISLA GRANDE,01/01/2019,0
ISLA GRANDE,01/02/2016,1.125
ISLA GRANDE,01/02/2017,1.625
ISLA GRANDE,01/02/2018,0
ISLA GRANDE,01/03/2016,4.375
ISLA GRANDE,01/03/2017,2
ISLA GRANDE,01/03/2018,0.625
ISLA GRANDE,01/04/2016,0
ISLA GRANDE,01/04/2017,0
ISLA GRANDE,01/04/2018,0.375
ISLA GRANDE,01/05/2016,0
ISLA GRANDE,01/05/2017,0
ISLA GRANDE,01/05/2018,0
ISLA GRANDE,01/06/2015,6.375
ISLA GRANDE,01/06/2016,5.25
ISLA GRANDE,01/06/2017,3.25
ISLA GRANDE,01/06/2018,7.625
ISLA GRANDE,01/07/2015,0.25
ISLA GRANDE,01/07/2016,32
ISLA GRANDE,01/07/2017,48.25
ISLA GRANDE,01/07/2018,17.75
ISLA GRANDE,01/08/2015,24.125
ISLA GRANDE,01/08/2016,23
ISLA GRANDE,01/08/2017,4.375
ISLA GRANDE,01/08/2018,25
ISLA GRANDE,01/09/2015,4.25
ISLA GRANDE,01/09/2016,0.875
ISLA GRANDE,01/09/2017,5.625
ISLA GRANDE,01/09/2018,11.5
ISLA GRANDE,01/10/2015,9.75
ISLA GRANDE,01/10/2016,0
ISLA GRANDE,01/10/2017,0
ISLA GRANDE,01/10/2018,22.75
ISLA GRANDE,01/11/2015,1.625
ISLA GRANDE,01/11/2016,0
ISLA GRANDE,01/11/2017,9.375
ISLA GRANDE,01/11/2018,0
ISLA GRANDE,01/12/2015,0
ISLA GRANDE,01/12/2016,5.625
ISLA GRANDE,01/12/2017,0
ISLA GRANDE,01/12/2018,0
ISLA GRANDE,02/01/2016,0
ISLA GRANDE,02/01/2017,7.875
ISLA GRANDE,02/01/2018,2.25
ISLA GRANDE,02/01/2019,4.5
ISLA GRANDE,02/02/2016,0
ISLA GRANDE,02/02/2017,3.125
ISLA GRANDE,02/02/2018,0
ISLA GRANDE,02/03/2016,0
ISLA GRANDE,02/03/2017,0
ISLA GRANDE,02/03/2018,0
ISLA GRANDE,02/04/2016,0
ISLA GRANDE,02/04/2017,0
ISLA GRANDE,02/04/2018,0.375
ISLA GRANDE,02/05/2015,2
ISLA GRANDE,02/05/2016,9.75
ISLA GRANDE,02/05/2017,0
ISLA GRANDE,02/05/2018,0
ISLA GRANDE,02/06/2015,2.875
ISLA GRANDE,02/06/2016,24.5
ISLA GRANDE,02/06/2017,1.25
ISLA GRANDE,02/06/2018,6.75
ISLA GRANDE,02/07/2015,0
ISLA GRANDE,02/07/2016,83
ISLA GRANDE,02/07/2017,57.75
ISLA GRANDE,02/07/2018,21.75
ISLA GRANDE,02/08/2015,20.625
ISLA GRANDE,02/08/2016,4.25
ISLA GRANDE,02/08/2017,0
ISLA GRANDE,02/08/2018,3.25
ISLA GRANDE,02/09/2015,32.75
ISLA GRANDE,02/09/2016,0
ISLA GRANDE,02/09/2017,4.25
ISLA GRANDE,02/09/2018,0
ISLA GRANDE,02/10/2015,2.5
ISLA GRANDE,02/10/2016,0
ISLA GRANDE,02/10/2017,0.625
ISLA GRANDE,02/10/2018,22.45
ISLA GRANDE,02/11/2015,18
ISLA GRANDE,02/11/2016,14.75
ISLA GRANDE,02/11/2017,1.875
ISLA GRANDE,02/11/2018,0
ISLA GRANDE,02/12/2015,0
ISLA GRANDE,02/12/2016,0.125
ISLA GRANDE,02/12/2017,0
ISLA GRANDE,02/12/2018,0
ISLA GRANDE,03/01/2016,0
ISLA GRANDE,03/01/2017,1.625
ISLA GRANDE,03/01/2018,3.625
ISLA GRANDE,03/01/2019,0.125
ISLA GRANDE,03/02/2016,0
ISLA GRANDE,03/02/2017,4.125
ISLA GRANDE,03/02/2018,0
ISLA GRANDE,03/03/2016,0.5
ISLA GRANDE,03/03/2017,0
ISLA GRANDE,03/03/2018,2.75
ISLA GRANDE,03/04/2016,0
ISLA GRANDE,03/04/2017,1.75
ISLA GRANDE,03/04/2018,0
ISLA GRANDE,03/05/2015,0.25
ISLA GRANDE,03/05/2016,1
ISLA GRANDE,03/05/2017,0.3125
ISLA GRANDE,03/05/2018,6
ISLA GRANDE,03/06/2015,0
ISLA GRANDE,03/06/2016,5.25
ISLA GRANDE,03/06/2017,0.75
ISLA GRANDE,03/06/2018,7.75
ISLA GRANDE,03/07/2015,0.5
ISLA GRANDE,03/07/2016,11
ISLA GRANDE,03/07/2017,34.5
ISLA GRANDE,03/07/2018,27.25
ISLA GRANDE,03/08/2015,4.375
ISLA GRANDE,03/08/2016,0
ISLA GRANDE,03/08/2017,19.5
ISLA GRANDE,03/08/2018,13.5
ISLA GRANDE,03/09/2015,6.125
ISLA GRANDE,03/09/2016,2
ISLA GRANDE,03/09/2017,14.75
ISLA GRANDE,03/09/2018,28
ISLA GRANDE,03/10/2015,0
ISLA GRANDE,03/10/2016,0.25
ISLA GRANDE,03/10/2017,24.875
ISLA GRANDE,03/10/2018,21.25
ISLA GRANDE,03/11/2015,2.5
ISLA GRANDE,03/11/2016,12
ISLA GRANDE,03/11/2017,18.75
ISLA GRANDE,03/11/2018,9.125
ISLA GRANDE,03/12/2015,0
ISLA GRANDE,03/12/2016,0.375
ISLA GRANDE,03/12/2017,0
ISLA GRANDE,03/12/2018,0
ISLA GRANDE,04/01/2016,2.875
ISLA GRANDE,04/01/2017,0
ISLA GRANDE,04/01/2018,0
ISLA GRANDE,04/01/2019,0
ISLA GRANDE,04/02/2016,0
ISLA GRANDE,04/02/2017,2.625
ISLA GRANDE,04/02/2018,5
ISLA GRANDE,04/03/2016,7.875
ISLA GRANDE,04/03/2017,3.625
ISLA GRANDE,04/03/2018,0
ISLA GRANDE,04/04/2016,0
ISLA GRANDE,04/04/2017,0
ISLA GRANDE,04/04/2018,0
ISLA GRANDE,04/05/2015,0.125
ISLA GRANDE,04/05/2016,74.75
ISLA GRANDE,04/05/2017,15.25
ISLA GRANDE,04/05/2018,3.625
ISLA GRANDE,04/06/2015,0.625
ISLA GRANDE,04/06/2016,55.75
ISLA GRANDE,04/06/2017,68.25
ISLA GRANDE,04/06/2018,4
ISLA GRANDE,04/07/2015,0.75
ISLA GRANDE,04/07/2016,17.5
ISLA GRANDE,04/07/2017,26.25
ISLA GRANDE,04/07/2018,0
ISLA GRANDE,04/08/2015,0
ISLA GRANDE,04/08/2016,7.75
ISLA GRANDE,04/08/2017,3.625
ISLA GRANDE,04/08/2018,12.75
ISLA GRANDE,04/09/2015,3
ISLA GRANDE,04/09/2016,5.5
ISLA GRANDE,04/09/2017,20.75
ISLA GRANDE,04/09/2018,2
ISLA GRANDE,04/10/2015,0
ISLA GRANDE,04/10/2016,0
ISLA GRANDE,04/10/2017,38
ISLA GRANDE,04/10/2018,1.75
ISLA GRANDE,04/11/2015,13.75
ISLA GRANDE,04/11/2016,4.375
ISLA GRANDE,04/11/2017,0.875
ISLA GRANDE,04/11/2018,0
ISLA GRANDE,04/12/2015,6.625
ISLA GRANDE,04/12/2016,5.25
ISLA GRANDE,04/12/2017,10
ISLA GRANDE,04/12/2018,0
ISLA GRANDE,05/01/2016,0.25
ISLA GRANDE,05/01/2017,1
ISLA GRANDE,05/01/2018,0
ISLA GRANDE,05/01/2019,0
ISLA GRANDE,05/02/2016,0
ISLA GRANDE,05/02/2017,2.125
ISLA GRANDE,05/02/2018,0
ISLA GRANDE,05/03/2016,4
ISLA GRANDE,05/03/2017,1
ISLA GRANDE,05/03/2018,2.825
ISLA GRANDE,05/04/2016,0
ISLA GRANDE,05/04/2017,0
ISLA GRANDE,05/04/2018,0
ISLA GRANDE,05/05/2015,0.375
ISLA GRANDE,05/05/2016,70.25
ISLA GRANDE,05/05/2017,0.125
ISLA GRANDE,05/05/2018,0
ISLA GRANDE,05/06/2015,35.25
ISLA GRANDE,05/06/2016,149.5
ISLA GRANDE,05/06/2017,0
ISLA GRANDE,05/06/2018,11.625
ISLA GRANDE,05/07/2015,2.25
ISLA GRANDE,05/07/2016,8.875
ISLA GRANDE,05/07/2017,23.875
ISLA GRANDE,05/07/2018,2.75
ISLA GRANDE,05/08/2015,0
ISLA GRANDE,05/08/2016,17.5
ISLA GRANDE,05/08/2017,3.25
ISLA GRANDE,05/08/2018,5.25
ISLA GRANDE,05/09/2015,5.625
ISLA GRANDE,05/09/2016,17.375
ISLA GRANDE,05/09/2017,2.25
ISLA GRANDE,05/09/2018,0
ISLA GRANDE,05/10/2015,0
ISLA GRANDE,05/10/2016,2.5
